flow_id,src_ip,src_port,dst_ip,dst_port,duration_ms,total_packets,total_bytes,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,packet_rate_per_sec,byte_rate_per_sec,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,mean_iat_ms,min_iat_ms,max_iat_ms,std_iat_ms,syn_count,ack_count,fin_count,rst_count,psh_count,label_str,label
10.0.0.45:52529-91.190.219.143:443,10.0.0.45,52529,91.190.219.143,443,143.57900619506836,5.0,339.0,3.0,2.0,219.0,120.0,34.82403265284434,2361.069413862846,67.8,54.0,99.0,16.497272501841024,35.89475154876709,1.1620521545410156,59.03291702270508,23.378073914688912,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52530-91.190.219.143:443,10.0.0.45,52530,91.190.219.143,443,134.74202156066897,5.0,339.0,3.0,2.0,219.0,120.0,37.10794852330978,2515.918909880403,67.8,54.0,99.0,16.497272501841024,33.68550539016724,2.300024032592773,57.67989158630371,24.03404468948656,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52531-91.190.219.143:443,10.0.0.45,52531,91.190.219.143,443,212.6901149749756,5.0,339.0,3.0,2.0,219.0,120.0,23.50837978807,1593.8681496311458,67.8,54.0,99.0,16.497272501841024,53.1725287437439,4.179954528808594,79.11801338195801,28.965274870504278,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52532-91.190.219.143:443,10.0.0.45,52532,91.190.219.143,443,190.34910202026367,5.0,339.0,3.0,2.0,219.0,120.0,26.26752607147957,1780.938267646315,67.8,54.0,99.0,16.497272501841024,47.58727550506592,4.060029983520508,73.27795028686523,26.409882124742165,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52533-91.190.219.143:443,10.0.0.45,52533,91.190.219.143,443,141.06488227844238,5.0,339.0,3.0,2.0,219.0,120.0,35.44468275336379,2403.149490678065,67.8,54.0,99.0,16.497272501841024,35.2662205696106,0.8358955383300781,55.97996711730957,22.79246727610501,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52534-91.190.219.143:443,10.0.0.45,52534,91.190.219.143,443,334.414005279541,5.0,339.0,3.0,2.0,219.0,120.0,14.95152691293666,1013.7135246971056,67.8,54.0,99.0,16.497272501841024,83.60350131988525,2.093076705932617,216.49789810180664,80.03938382491242,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52535-91.190.219.143:443,10.0.0.45,52535,91.190.219.143,443,114.4258975982666,5.0,339.0,3.0,2.0,219.0,120.0,43.696401819405466,2962.61604335569,67.8,54.0,99.0,16.497272501841024,28.60647439956665,0.6279945373535156,56.34593963623047,27.464136074901987,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52536-91.190.219.143:443,10.0.0.45,52536,91.190.219.143,443,219.4609642028809,5.0,339.0,3.0,2.0,219.0,120.0,22.78309501719744,1544.6938421659863,67.8,54.0,99.0,16.497272501841024,54.865241050720215,7.599115371704102,98.23298454284668,32.10594916899065,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52537-91.190.219.143:443,10.0.0.45,52537,91.190.219.143,443,119.6739673614502,5.0,339.0,3.0,2.0,219.0,120.0,41.78018085502711,2832.696261970838,67.8,54.0,99.0,16.497272501841024,29.91849184036255,1.6710758209228516,56.03981018066406,25.99633655540752,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52538-91.190.219.143:443,10.0.0.45,52538,91.190.219.143,443,123.1238842010498,5.0,339.0,3.0,2.0,219.0,120.0,40.609505072431496,2753.3244439108557,67.8,54.0,99.0,16.497272501841024,30.78097105026245,0.5741119384765625,56.02884292602539,25.17747910488083,2.0,4.0,0.0,1.0,1.0,benign,0
